"ColorName","LightHex","DarkHex","DarkAltHex"
"CED.Color.Accent","#0459A4","#3B8ED8","#3B8ED8"
"CED.Color.AccentBlue","#0459A4","#3B8ED8","#3B8ED8"
"CED.Color.AccentGreen","#43A047","#58B95E","#58B95E"
"CED.Color.AccentNeutral","#5F6F82","#9DB1C8","#9DB1C8"
"CED.Color.AccentRed","#BE202F","#D15762","#D15762"
"CED.Color.ApplyBackground","#DFF2D8","#2E5632","#2E5632"
"CED.Color.ApplyBorder","#4E8A4A","#58A464","#58A464"
"CED.Color.BadgeInfoBackground","#E8F1FF","#2A3C55","#2A3C55"
"CED.Color.BadgeInfoBorder","#2B62A8","#5E8BC5","#5E8BC5"
"CED.Color.BadgeInfoText","#1E4B86","#D5E6FF","#D5E6FF"
"CED.Color.BadgeStd01Background","#DDEBFF","#2B456A","#2B456A"
"CED.Color.BadgeStd01Border","#234A84","#D5E7FF","#D5E7FF"
"CED.Color.BadgeStd01Text","#234A84","#D5E7FF","#D5E7FF"
"CED.Color.BadgeStd02Background","#D5F1E0","#244836","#244836"
"CED.Color.BadgeStd02Border","#155C38","#D4F3E1","#D4F3E1"
"CED.Color.BadgeStd02Text","#155C38","#D4F3E1","#D4F3E1"
"CED.Color.BadgeStd03Background","#EAEAEA","#3A3E44","#3A3E44"
"CED.Color.BadgeStd03Border","#444444","#DFE3E8","#DFE3E8"
"CED.Color.BadgeStd03Text","#444444","#DFE3E8","#DFE3E8"
"CED.Color.BadgeStd04Background","#ECEFF3","#343B44","#343B44"
"CED.Color.BadgeStd04Border","#52606D","#D1D9E2","#D1D9E2"
"CED.Color.BadgeStd04Text","#52606D","#D1D9E2","#D1D9E2"
"CED.Color.BadgeStd05Background","#FFE6CC","#5A422E","#5A422E"
"CED.Color.BadgeStd05Border","#8A4B08","#FFE5CA","#FFE5CA"
"CED.Color.BadgeStd05Text","#8A4B08","#FFE5CA","#FFE5CA"
"CED.Color.BadgeStd06Background","#F7DEFF","#50365B","#50365B"
"CED.Color.BadgeStd06Border","#6F2D86","#F5DFFD","#F5DFFD"
"CED.Color.BadgeStd06Text","#6F2D86","#F5DFFD","#F5DFFD"
"CED.Color.BadgeStd07Background","#E6F8FA","#254751","#254751"
"CED.Color.BadgeStd07Border","#0E5966","#D6F5FA","#D6F5FA"
"CED.Color.BadgeStd07Text","#0E5966","#D6F5FA","#D6F5FA"
"CED.Color.BadgeStd08Background","#F0F0F0","#3C4148","#3C4148"
"CED.Color.BadgeStd08Border","#666666","#D4DAE2","#D4DAE2"
"CED.Color.BadgeStd08Text","#666666","#D4DAE2","#D4DAE2"
"CED.Color.BadgeWarningBackground","#FFF1E8","#4A3628","#4A3628"
"CED.Color.BadgeWarningBorder","#9A5D2E","#BC8E63","#BC8E63"
"CED.Color.BadgeWarningText","#7A451D","#F7E2CF","#F7E2CF"
"CED.Color.Border","#B8C8DB","#3A434F","#555C65"
"CED.Color.ButtonDefaultBackground","#FFFFFF","#2A3139","#2A3139"
"CED.Color.ButtonForegroundOnAccent","#FFFFFF","#FFFFFF","#F5F8FC"
"CED.Color.ButtonHoverBackground","#EAF1F9","#36404B","#36404B"
"CED.Color.ButtonStateOverlayHover","#0A000000","#0AFFFFFF","#0AFFFFFF"
"CED.Color.ButtonStateOverlayPressed","#1F000000","#1FFFFFFF","#1FFFFFFF"
"CED.Color.CardBorder","#B4C0CD","#2B323C","#4C5661"
"CED.Color.CircuitItemHoverBackground","#F5F5F5","#292F36","#4A5159"
"CED.Color.CircuitItemSelectedBackground","#E0E3E8","#3B4147","#58616B"
"CED.Color.DataGridAltRow","#F9FBFD","#232A32","#434A52"
"CED.Color.DataGridBackground","#EEF1F4","#171C22","#4C5661"
"CED.Color.DataGridBorder","#AAB4C0","#3A434F","#59616B"
"CED.Color.DataGridCellBorder","#D7DEE8","#36404B","#4C5661"
"CED.Color.DataGridChangedBackground","#FFF8D6","#4D4A2A","#605A3E"
"CED.Color.DataGridDisabledBackground","#F0F2F4","#1B222A","#353B42"
"CED.Color.DataGridDisabledForeground","#8994A0","#738395","#A0A8B1"
"CED.Color.DataGridDividerStrong","#8E9AA8","#586575","#7A8592"
"CED.Color.DataGridErrorBackground","#F9D6D6","#4C2F32","#654448"
"CED.Color.DataGridHeaderBackground","#E7EDF5","#2B333D","#464E58"
"CED.Color.DataGridHeaderBorder","#AAB4C0","#4A5666","#68717C"
"CED.Color.DataGridHeaderForeground","#1E2A37","#DDE6F2","#EEF1F4"
"CED.Color.DataGridHeaderHoverBackground","#DCE6F2","#354150","#535C68"
"CED.Color.DataGridHeaderPressedBackground","#CEDCEC","#415062","#606A77"
"CED.Color.DataGridReadOnlyBackground","#E2E8EF","#232C35","#434A52"
"CED.Color.DataGridReadOnlyForeground","#33414F","#C7D1DD","#DDE2E7"
"CED.Color.DataGridRowForeground","#1F2A36","#D7E0EB","#E5E9ED"
"CED.Color.DataGridSelectionBackground","#DCEBFA","#2B3C4F","#566170"
"CED.Color.DataGridSelectionForeground","#1F2A36","#E5EDF9","#F4F6F8"
"CED.Color.DataGridWarningBackground","#FDEACB","#4B3B2B","#66533F"
"CED.Color.HeadingText","#1F2E3D","#E5EDF9","#F1F3F5"
"CED.Color.IconMuted","#718091","#A8B6C6","#C4CBD3"
"CED.Color.InfoAccentBackground","#EDF5FF","#243242","#4A515A"
"CED.Color.InfoAccentBorder","#9BB8D9","#5B7696","#7A8796"
"CED.Color.InfoPanelBackground","#F6F9FD","#1E252D","#40464D"
"CED.Color.InfoPanelBorder","#C8D3E0","#435160","#616A75"
"CED.Color.ListBackground","#EEF1F4","#171C22","#4C5661"
"CED.Color.ListBorder","#9CA9B6","#252C34","#4C5661"
"CED.Color.ListItemBackground","#FFFFFF","#1F252C","#3F454C"
"CED.Color.NeutralDark","#323130","#E6E6E6","#ECEDEE"
"CED.Color.PlaceholderText","#A1ADBA","#7E8C9A","#A2AAB3"
"CED.Color.PrimaryBlue","#0459A4","#3B8ED8","#3B8ED8"
"CED.Color.PrimaryText","#1F2E3D","#E5EDF9","#EDEFF1"
"CED.Color.SearchBackground","#FFFFFF","#1F252C","#3F454C"
"CED.Color.SearchBorder","#B8C8DB","#3A434F","#4C5661"
"CED.Color.SecondaryRed","#BE202F","#D15762","#D15762"
"CED.Color.SecondaryText","#4A5866","#B4C0CE","#C8CDD3"
"CED.Color.SectionDivider","#C4CFDB","#435160","#656E78"
"CED.Color.SelectionBadge","#5F6F82","#9DB1C8","#BCC8D4"
"CED.Color.Surface","#F4F7FB","#1C2127","#353A40"
"CED.Color.SurfaceAlt","#EAF1F9","#252B33","#3B4046"
"CED.Color.TabActiveBackground","#EEF1F4","#171C22","#4C5661"
"CED.Color.TabActiveForeground","#1F2E3D","#E5EDF9","#EDEFF1"
"CED.Color.TabHoverBackground","#DCE6F2","#354150","#535C68"
"CED.Color.TabInactiveBackground","#E7EDF5","#2B333D","#464E58"
"CED.Color.TabInactiveForeground","#7E8A96","#9EACBD","#AEB5BD"
"CED.Color.TertiaryGreen","#43A047","#58B95E","#58B95E"
"CED.Color.WindowBackground","#F2F3F5","#171B20","#31363C"
